node,outdegree,katz,clustering,dir_clustering,w_clustering,weight_dir_clustering,undirected_betweenness,undirected_Weighted_betweenness,QuarterYear,Number of Deals,Total Deal Value
IQ162270,0.0039394567696454,0.0133491528313773,0.0058479532163742,0.0029239766081871,0.0003172216285975,0.0001586108142987,3.998881001299164e-05,3.998881001299164e-05,2011-q2,0.0,0.0
IQ162270,0.00402982067298,0.0131558628620628,0.0052631578947368,0.0026315789473684,0.0002854994657378,0.0001427497328689,4.044439127658335e-05,4.044439127658335e-05,2011-q3,1.0,33.11
IQ162270,0.0041346721795629,0.013004350882778,0.0047619047619047,0.0023809523809523,0.0002583090404294,0.0001291545202147,4.12544421224604e-05,4.12544421224604e-05,2011-q4,1.0,234.11
IQ162270,0.0040400153905348,0.0128535690312936,0.0047619047619047,0.0023809523809523,0.0002583090404294,0.0001291545202147,3.9386975778416576e-05,3.9386975778416576e-05,2012-q1,0.0,0.0
IQ162270,0.0039303761931499,0.0126758567327326,0.0047619047619047,0.0023809523809523,0.0002583090404294,0.0001291545202147,3.727799708965352e-05,3.727799708965352e-05,2012-q2,0.0,0.0
IQ162270,0.0040109389243391,0.0125072095686657,0.0043290043290043,0.0021645021645021,0.0002348264003904,0.0001174132001952,3.769979394768705e-05,3.769979394768705e-05,2012-q3,1.0,202.54
IQ162270,0.0040643223184308,0.0123119986789941,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,3.766558098596498e-05,3.766558098596498e-05,2012-q4,1.0,520.57
IQ162270,0.0039813051756967,0.0121849871595776,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,3.614246388270997e-05,3.614246388270997e-05,2013-q1,0.0,0.0
IQ162270,0.0038963239031001,0.0120522932884284,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,3.461587543749903e-05,3.461587543749903e-05,2013-q2,0.0,0.0
IQ162270,0.0038016528925619,0.0119028689417496,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,3.295401603160962e-05,3.295401603160962e-05,2013-q3,0.0,0.0
IQ162270,0.0037204788094467,0.0117719275804976,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,3.344591714069755e-05,3.344591714069755e-05,2013-q4,0.0,0.0
IQ162270,0.0036260444584581,0.011620071976879,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,3.176946524830671e-05,3.176946524830671e-05,2014-q1,0.0,0.0
IQ162270,0.0035232843137254,0.0114508030824719,0.0039525691699604,0.0019762845849802,0.0002144067133999,0.0001072033566999,2.9994187042060582e-05,2.9994187042060582e-05,2014-q2,0.0,0.0
IQ162270,0.0038829151732377,0.0113055754546999,0.003076923076923,0.0015384615384615,0.0001669073799698,8.345368998490049e-05,3.551215577523125e-05,3.551215577523125e-05,2014-q3,3.0,766.5799999999999
IQ162270,0.0039255597557429,0.0111525383569096,0.0028490028490028,0.0014245014245014,0.0001545438703424,7.727193517120416e-05,3.543339931077387e-05,3.543339931077387e-05,2014-q4,1.0,457.34
IQ162270,0.0039626379847155,0.0110019422885382,0.0026455026455026,0.0013227513227513,0.0001435050224608,7.175251123040386e-05,4.563183363250429e-05,4.563183363250429e-05,2015-q1,0.0,0.0
IQ162270,0.0038235695753106,0.0108065191666349,0.0026455026455026,0.0013227513227513,0.0001435050224608,7.175251123040386e-05,4.248493528582011e-05,4.248493528582011e-05,2015-q2,1.0,15531.49
IQ162270,0.0037086092715231,0.0106415646904746,0.0026455026455026,0.0013227513227513,0.0001435050224608,7.175251123040386e-05,4.298626457256301e-05,4.298626457256301e-05,2015-q3,0.0,0.0
IQ162270,0.0036208457261088,0.0105142012438151,0.0026455026455026,0.0013227513227513,0.0001435050224608,7.175251123040386e-05,4.097568559680902e-05,4.097568559680902e-05,2015-q4,0.0,0.0
IQ162270,0.0035335689045936,0.0103849576123044,0.0026455026455026,0.0013227513227513,0.0001435050224608,7.175251123040386e-05,3.902401604845935e-05,3.902401604845935e-05,2016-q1,3.0,652.0799999999999
IQ162270,0.0035775968418455,0.0102669657473597,0.0024630541871921,0.001231527093596,0.00013360812436,6.680406218003118e-05,4.185747969569764e-05,4.185747969569764e-05,2016-q2,1.0,4089.71
IQ162270,0.0041008322277168,0.0101519402150708,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.9961888419710125e-05,4.9961888419710125e-05,2016-q3,2.0,14059.61
IQ162270,0.0040208136234626,0.0100520205874457,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.803100839381734e-05,4.803100839381734e-05,2016-q4,0.0,0.0
IQ162270,0.003949814126394,0.0099626498555002,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.634962551014282e-05,4.634962551014282e-05,2017-q1,0.0,0.0
IQ162270,0.0038768529076396,0.0098692613706664,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.465299848005562e-05,4.465299848005562e-05,2017-q2,0.0,0.0
IQ162270,0.0038172224093409,0.0097929285189387,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.328985665208149e-05,4.328985665208149e-05,2017-q3,0.0,0.0
IQ162270,0.0037465564738292,0.0097005341605797,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.170180778672573e-05,4.170180778672573e-05,2017-q4,0.0,0.0
IQ162270,0.0036896364622897,0.0096266709513621,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,4.044424600512961e-05,4.044424600512961e-05,2018-q1,0.0,0.0
IQ162270,0.0036293766011955,0.0095466893032648,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,3.913387815957633e-05,3.913387815957633e-05,2018-q2,0.0,0.0
IQ162270,0.0035564853556485,0.0094502922351696,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,3.757767767763386e-05,3.757767767763386e-05,2018-q3,0.0,0.0
IQ162270,0.0034979423868312,0.0093722832693876,0.0018939393939393,0.0009469696969696,0.0001027365501708,5.136827508540276e-05,3.745156595815672e-05,3.745156595815672e-05,2018-q4,0.0,0.0
IQ162270,0.0035464586077616,0.0093019863634984,0.0017825311942959,0.0008912655971479,9.610610870557338e-05,4.805305435278669e-05,3.760244201060648e-05,3.760244201060648e-05,2019-q1,1.0,45.0
IQ162270,0.0036904049471374,0.0092292013246345,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.896104542155483e-05,3.896104542155483e-05,2019-q2,1.0,10236.71
IQ162270,0.0036295860309986,0.0091524322086508,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.768738720370001e-05,3.768738720370001e-05,2019-q3,1.0,722.84
IQ162270,0.0035676405361103,0.0090724331576079,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.641189590400575e-05,3.641189590400575e-05,2019-q4,0.0,0.0
IQ162270,0.0035144376899696,0.0090051432690193,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.53339494938908e-05,3.53339494938908e-05,2020-q1,0.0,0.0
IQ162270,0.0034735260983852,0.0089528962553785,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.45160540725189e-05,3.45160540725189e-05,2020-q2,0.0,0.0
IQ162270,0.0034233900814211,0.0088885960160535,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.3526807096614805e-05,3.3526807096614805e-05,2020-q3,0.0,0.0
IQ162270,0.0033639421765615,0.0088099987887948,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.237246468255864e-05,3.237246468255864e-05,2020-q4,0.0,0.0
IQ162270,0.0033044565508618,0.0087315579499014,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,3.123763277708969e-05,3.123763277708969e-05,2021-q1,0.0,0.0
IQ162270,0.0032379452174674,0.0086436337011843,0.0015873015873015,0.0007936507936507,8.558020156162963e-05,4.2790100780814814e-05,2.999274644268488e-05,2.999274644268488e-05,2021-q2,0.0,0.0
IQ162270,0.003263763634802,0.0085635033272425,0.0015015015015015,0.0007507507507507,8.095424472046046e-05,4.047712236023023e-05,2.9849247430828944e-05,2.9849247430828944e-05,2021-q3,1.0,1793.61
IQ162270,0.0032903062515818,0.0084867936162288,0.0014224751066856,0.0007112375533428,7.669349499833096e-05,3.834674749916548e-05,0.0025528012334925,0.0025528012334925,2021-q4,1.0,5957.81
