node,outdegree,katz,undirected_betweenness,undirected_Weighted_betweenness,QuarterYear,Number of Deals,Total Deal Value
IQ382553,0.0039828431372549,0.0114508030824719,6.538638896649514e-05,6.538638896649514e-05,2014-q2,1.0,11599.2
IQ382553,0.0038829151732377,0.0113055754546999,6.611685283780492e-05,6.611685283780492e-05,2014-q3,0.0,0.0
IQ382553,0.0037801686536783,0.0111525383569096,9.078222949908294e-05,9.078222949908294e-05,2014-q4,0.0,0.0
IQ382553,0.0036795924143787,0.0110019422885382,9.034221671755678e-05,9.034221671755678e-05,2015-q1,0.0,0.0
IQ382553,0.0035504574627884,0.0108065191666349,8.545477325707977e-05,8.545477325707977e-05,2015-q2,0.0,0.0
IQ382553,0.0034437086092715,0.0106415646904746,8.165635727375846e-05,8.165635727375846e-05,2015-q3,0.0,0.0
IQ382553,0.0033622138885296,0.0105142012438151,8.024544469122028e-05,8.024544469122028e-05,2015-q4,0.0,0.0
IQ382553,0.003281171125694,0.0103849576123044,7.757018700244777e-05,7.757018700244777e-05,2016-q1,0.0,0.0
IQ382553,0.003207500616827,0.0102669657473597,7.412579131565364e-05,7.412579131565364e-05,2016-q2,0.0,0.0
IQ382553,0.0031359305270775,0.0101519402150708,7.085451269772519e-05,7.085451269772519e-05,2016-q3,0.0,0.0
IQ382553,0.0034295175023651,0.0100520205874457,7.558519783348542e-05,7.558519783348542e-05,2016-q4,3.0,1486.1
IQ382553,0.0033689591078066,0.0099626498555002,7.293924759953751e-05,7.293924759953751e-05,2017-q1,0.0,0.0
IQ382553,0.0033067274800456,0.0098692613706664,8.244030587173926e-05,8.244030587173926e-05,2017-q2,0.0,0.0
IQ382553,0.0032558661726731,0.0097929285189387,7.992361420331877e-05,7.992361420331877e-05,2017-q3,0.0,0.0
IQ382553,0.0031955922865013,0.0097005341605797,7.793890575865048e-05,7.793890575865048e-05,2017-q4,0.0,0.0
IQ382553,0.0031470428648941,0.0096266709513621,7.650722831954628e-05,7.650722831954628e-05,2018-q1,0.0,0.0
IQ382553,0.0032023911187019,0.0095466893032648,7.642160365117032e-05,7.642160365117032e-05,2018-q2,0.0,0.0
IQ382553,0.0031380753138075,0.0094502922351696,7.42580433082188e-05,7.42580433082188e-05,2018-q3,1.0,7057.07
IQ382553,0.0031893004115226,0.0093722832693876,8.019589137902636e-05,8.019589137902636e-05,2018-q4,1.0,1827.62
IQ382553,0.0031411490525889,0.0093019863634984,8.081136499821764e-05,8.081136499821764e-05,2019-q1,1.0,1404.27
IQ382553,0.0032914422501496,0.0092292013246345,8.285689128465491e-05,8.285689128465491e-05,2019-q2,0.0,0.0
IQ382553,0.0032371983519717,0.0091524322086508,8.01482534812088e-05,8.01482534812088e-05,2019-q3,1.0,4729.72
IQ382553,0.0032783723845337,0.0090724331576079,0.0001000490296034,0.0001000490296034,2019-q4,1.0,8676.21
IQ382553,0.0032294832826747,0.0090051432690193,9.809772699121062e-05,9.809772699121062e-05,2020-q1,0.0,0.0
IQ382553,0.0031918888471648,0.0089528962553785,9.681418231168224e-05,9.681418231168224e-05,2020-q2,0.0,0.0
IQ382553,0.0031458179126572,0.0088885960160535,9.499832776916188e-05,9.499832776916188e-05,2020-q3,0.0,0.0
IQ382553,0.0033639421765615,0.0088099987887948,9.920060679027162e-05,9.920060679027162e-05,2020-q4,3.0,897.21
IQ382553,0.0033044565508618,0.0087315579499014,9.666436005944149e-05,9.666436005944149e-05,2021-q1,0.0,0.0
IQ382553,0.0032379452174674,0.0086436337011843,9.37158440941502e-05,9.37158440941502e-05,2021-q2,0.0,0.0
IQ382553,0.0031778751180967,0.0085635033272425,9.114127601593197e-05,9.114127601593197e-05,2021-q3,0.0,0.0
IQ382553,0.0032059394246182,0.0084867936162288,9.258141676418112e-05,9.258141676418112e-05,2021-q4,1.0,1319.32
